@relation data_deci

@attribute y1 numeric
@attribute y2 numeric
@attribute y3 numeric
@attribute classification {NO_RAIN,RAIN}

@data
-797.8527,3674.8681,-878.8603,NO_RAIN
-819.1881,3691.2253,-876.4757,NO_RAIN
-835.3344,3706.7516,-875.4745,NO_RAIN
-837.1352,3709.1282,-874.3553,NO_RAIN
-838.5213,3721.012,-875.1664,NO_RAIN
-827.8348,3735.0332,-874.4863,NO_RAIN
-803.5726,3740.8604,-875.5612,NO_RAIN
-776.0942,3754.1525,-871.4167,NO_RAIN
-781.2279,3755.9838,-873.9476,NO_RAIN
-754.7953,3762.7826,-872.2845,NO_RAIN
-761.5259,3762.7294,-872.8742,NO_RAIN
-738.8391,3757.7294,-873.1785,NO_RAIN
